Company,% Change
Confidence Petroleum,-1.03
SPIC,-0.98
Gayatri Projects,-0.97
Adani Power Ltd.,-0.97
Cupid Ltd.,-0.96
Indian Hotels Co,-0.94
Rane Brake Lining Lt,-0.92
Greaves Cotton,-0.9
MBL Infrastructures,-0.78
Swan Energy Ltd.,-0.72
HUDCO,-0.72
Praj Industries,-0.71
NBI Industrial Fin,-0.69
Pritish Nandy Comm.,-0.68
R Systems Internat.,-0.63
Rajesh Exports L,-0.62
Sudarshan Chem.,-0.59
CG Power and Indust,-0.58
Grasim Inds.,-0.55
DCM Ltd.,-0.53
Everest Industries L,-0.52
T T Ltd.,-0.51
Gati Ltd.,-0.45
Jindal Saw,-0.43
IRCTC,-0.43
JSW Energy Ltd.,-0.42
Gandhi Special,-0.41
Grindwell Norton,-0.37
Power Finance Co,-0.36
TIL Ltd.,-0.36
Indo National,-0.32
The New India Assur,-0.3
Canara Bank,-0.3
JK Paper Ltd.,-0.25
Shemaroo Entertainme,-0.24
Oberoi Realty,-0.19
Shipping Corpn.,-0.18
Ratnamani Metals,-0.17
Torrent Power Ltd.,-0.16
Hitech Corporation,-0.13
HDFC Bank,-0.12
ICICI Bank,-0.11
Dolat Investment,-0.1
Pidilite Inds.,-0.09
TTK Prestige L,-0.09
Ponni Sugars (Erode),-0.07
GlaxoSmithKline Phar,-0.06
